,A,B,C,D,E,F
238,4,15,7,5,13,2
239,3,23,5,12,20,18
240,18,14,13,10,1,17
241,20,8,5,15,13,11
242,5,13,11,15,8,14
243,6,21,22,3,16,12
244,16,1,24,3,7,11
245,6,2,13,5,12,1
246,18,11,21,14,4,20
247,14,4,5,23,13,11
248,24,15,16,20,9,19
249,6,18,2,13,23,10
250,11,14,9,16,7,13
251,16,1,18,8,7,24
252,19,1,23,16,7,24
253,11,23,7,2,20,4
254,14,16,17,13,3,9
255,13,15,18,7,5,9
256,24,1,10,21,8,4
257,5,22,1,24,8,19
258,18,5,7,17,20,24
259,7,24,11,15,20,17
260,20,23,7,9,18,14
261,15,10,5,13,7,3
262,12,14,19,17,4,20
263,4,19,3,10,14,17
264,21,22,23,9,15,1
265,4,14,15,20,8,11
266,21,11,8,24,6,22
267,1,17,16,13,6,14
268,18,10,7,8,24,13
269,13,18,20,5,4,14
270,4,17,22,14,11,3
271,5,6,13,17,11,10
272,21,12,15,13,9,1
273,18,7,21,16,10,3
274,8,24,17,2,20,6
275,1,11,3,5,22,17
276,22,17,13,7,16,15
277,4,24,17,2,14,10
278,18,15,13,11,17,2
279,7,4,1,19,3,5
280,12,4,6,17,18,16
281,14,4,6,22,21,16
282,10,1,2,23,20,13
283,20,1,23,19,21,12
284,20,7,1,12,15,23
285,10,22,16,24,18,4
286,6,12,4,16,23,20
287,7,9,11,1,14,13
288,5,19,7,23,22,14
289,1,20,12,14,4,24
290,12,20,21,11,15,17
291,16,3,14,19,11,9
292,24,23,9,11,13,8
293,6,8,16,23,18,13
294,19,1,11,21,6,14
295,11,17,14,23,16,7
296,23,19,18,9,14,16
297,14,23,12,19,8,22
298,13,7,8,3,4,2
299,23,7,6,5,3,18
300,18,3,6,16,4,21
301,15,20,13,1,8,18
302,5,18,9,1,10,14
303,24,23,5,16,12,8
304,16,5,20,12,3,19
305,2,14,11,15,19,12
306,23,22,15,11,12,13
307,8,16,5,6,10,22
308,5,11,1,15,21,16
309,10,11,18,12,14,24
310,10,24,20,23,21,8
311,17,10,23,7,9,19
312,6,9,11,3,18,1
313,12,14,9,19,18,6
314,12,9,17,20,8,23
315,7,17,15,14,1,21
316,17,12,9,21,2,6
317,2,15,13,9,10,6
318,6,23,24,14,9,5
319,14,17,20,5,2,21
320,13,14,5,17,22,20
321,12,18,19,6,17,23
322,10,17,5,21,3,18
323,2,7,8,12,14,23
324,18,10,11,12,15,14
325,15,12,22,4,7,19
326,21,9,13,7,14,20
327,20,9,3,24,18,15
328,1,15,7,3,19,6
329,8,13,21,5,14,17
330,9,14,20,19,21,22
331,22,12,13,5,18,23
332,15,20,19,24,12,4
333,12,9,6,15,16,7
334,19,16,14,22,11,20
335,23,7,3,12,4,6
336,7,4,18,5,11,12
337,2,22,3,24,13,7
338,6,18,1,12,21,5
339,22,7,12,18,9,1
340,13,2,23,15,12,4
341,11,23,1,4,15,12
342,16,9,14,6,3,18
343,15,12,13,24,1,11
344,23,6,19,16,20,4
345,20,1,3,14,6,13
346,6,15,1,4,9,13
347,19,23,9,22,18,11
348,4,6,21,11,5,1
349,9,22,21,17,6,11
350,17,10,12,21,3,13
351,2,22,23,8,19,11
352,24,19,8,2,12,6
353,21,17,19,13,2,24
354,8,20,9,17,4,19
355,23,22,13,14,4,20
356,2,1,22,9,15,24
357,7,8,12,18,17,6
358,8,6,13,18,11,9
359,19,9,2,10,15,1
360,21,24,22,10,1,17
361,9,6,7,3,14,22
362,19,22,1,12,11,5
363,21,20,15,23,19,16
364,17,11,4,13,9,14
365,13,21,19,14,24,9
366,17,3,8,4,19,20
367,12,10,11,8,3,2
368,2,20,6,18,21,7
369,8,12,6,7,24,18
370,10,15,9,23,24,22
371,2,5,14,23,1,22
372,18,22,14,19,10,11
373,7,11,17,24,9,12
374,3,11,2,16,13,17
375,2,24,5,10,15,8
376,13,22,14,2,17,23
377,1,23,2,17,14,21
378,11,2,23,15,20,10
379,10,7,2,12,24,11
380,19,17,3,4,15,1
381,3,22,13,20,7,14
382,9,16,24,17,2,6
383,22,13,23,15,5,14
384,20,1,12,9,17,10
385,22,16,13,17,1,12
386,19,15,24,9,17,5
387,21,3,6,7,1,2
388,22,6,20,7,9,13
389,22,21,23,16,14,15
390,10,9,5,13,21,12
391,8,11,13,4,5,12
392,18,7,19,12,20,13
393,16,9,20,23,4,24
394,1,2,14,23,22,8
395,10,22,20,1,5,19
396,10,11,22,17,16,21
397,15,5,19,14,10,4
398,16,6,11,9,5,4
399,3,6,21,14,9,22
400,3,24,22,4,2,19
401,1,3,9,7,5,12
402,16,2,10,13,14,17
403,9,11,21,8,23,15
404,8,18,23,4,19,17
405,19,20,8,14,13,9
406,7,10,21,19,3,5
407,12,2,17,22,13,23
408,6,3,12,10,14,2
409,4,21,10,22,20,6
410,14,16,17,2,3,20
411,5,4,20,23,3,1
412,13,10,18,24,3,21
413,12,5,20,11,10,21
414,4,19,18,11,23,2
415,20,10,19,24,7,14
416,20,24,13,12,6,18
417,5,23,6,10,14,17
418,13,22,6,18,17,2
419,23,14,19,20,3,24
420,9,15,11,14,18,20
421,10,21,22,3,11,12
422,17,18,21,13,5,6
423,18,15,6,23,11,14
424,14,24,11,18,21,5
425,11,24,4,8,2,9
426,17,14,11,23,1,3
427,21,2,5,20,7,22
428,9,11,8,21,12,13
429,18,7,14,8,5,20
430,17,9,4,20,2,5
431,11,19,23,2,24,7
432,4,18,5,7,12,3
433,1,5,9,8,23,2
434,6,3,4,14,17,13
435,3,4,12,5,8,11
436,16,2,22,12,13,1
437,10,6,2,16,15,5
438,18,20,15,24,2,19
439,2,22,11,6,12,13
440,20,4,13,7,10,23
441,5,16,21,10,6,22
442,11,10,13,8,15,6
443,14,16,23,5,9,15
444,11,15,12,23,7,10
445,7,3,17,5,16,18
446,14,5,9,20,19,18
447,13,9,1,15,17,2
448,6,2,16,22,23,11
449,23,9,21,20,14,13
450,2,1,20,4,10,12
451,2,16,20,17,10,3
452,12,24,10,14,18,6
453,23,8,18,15,14,12
454,1,17,15,7,4,24
455,3,17,16,19,14,2
456,11,17,13,16,9,3
457,16,10,11,8,15,20
458,2,13,20,15,7,12
459,18,12,4,16,19,14
460,9,6,8,10,18,3
461,11,17,6,19,12,14
462,10,21,16,4,19,20
463,18,24,7,3,23,20
464,15,17,10,24,22,13
465,5,8,11,3,20,17
466,11,9,4,18,6,17
467,19,20,9,6,22,16
468,14,10,18,20,2,8
469,18,5,7,3,23,21
470,19,24,5,14,6,9
471,18,20,19,6,13,4
472,12,11,15,21,14,8
473,17,14,1,9,23,3
474,18,12,19,11,7,2
475,9,21,16,10,6,4
476,17,1,9,14,12,21
477,2,4,16,13,5,11
478,13,11,16,19,14,7
479,8,11,23,6,1,10
480,23,18,9,3,22,21
481,6,20,8,18,1,16
482,8,12,18,15,14,3
483,11,1,10,6,18,8
484,4,16,13,18,15,3
485,3,5,2,8,1,6
486,3,15,16,12,11,20
487,1,8,10,20,11,3
488,12,9,7,24,17,11
489,13,3,5,19,14,11
490,22,7,19,21,1,5
491,8,3,20,19,9,10
492,24,6,15,8,7,22
493,8,11,1,3,21,5
494,3,21,23,11,18,6
495,9,1,2,16,11,21
496,7,6,4,5,18,1
497,10,23,22,13,3,11
498,18,5,8,2,17,6
499,18,6,8,2,10,21
500,20,19,22,13,4,18
501,24,19,17,16,10,21
502,5,3,19,8,7,12
503,23,7,19,9,10,15
504,11,21,19,18,10,3
505,24,1,15,11,4,5
506,15,12,7,4,5,20
507,13,1,16,24,5,9
508,2,6,5,8,11,9
509,22,20,16,4,10,13
510,1,2,4,24,21,23
511,10,2,22,3,24,20
512,3,11,4,12,9,24
513,16,11,4,8,20,22
514,22,10,13,5,8,20
515,14,15,17,20,19,2
516,10,22,18,7,11,2
517,16,12,2,4,1,13
518,10,1,16,12,13,15
519,17,18,19,9,20,10
520,1,20,11,14,16,22
521,17,19,12,11,16,2
522,16,3,14,6,10,1
523,5,7,6,20,2,8
524,15,2,14,3,23,8
525,7,5,20,23,2,3
526,1,18,8,22,9,3
527,6,4,18,15,5,24
528,10,6,4,18,15,19
529,11,23,17,9,5,24
530,9,6,11,12,16,2
531,3,16,2,15,18,17
532,6,11,13,5,3,23
533,10,1,6,16,5,21
534,5,12,4,22,21,17
535,19,6,13,24,10,21
536,16,9,5,19,23,18
537,2,20,5,11,9,3
538,14,24,20,10,9,21
539,21,7,22,19,2,24
540,6,14,2,19,23,10
541,4,6,20,23,12,21
542,23,16,22,5,4,21
543,15,23,5,12,7,3
544,24,12,9,2,11,13
545,10,6,21,4,5,24
546,21,14,10,24,6,20
547,21,18,6,5,8,24
548,13,4,15,12,21,10
549,18,19,8,7,5,3
550,23,6,13,9,7,1
551,16,24,2,13,7,15
552,22,3,12,21,19,13
553,18,24,6,1,14,19
554,22,13,16,12,5,15
555,14,21,20,17,5,18
556,4,7,22,16,9,1
557,6,20,5,15,11,8
558,5,8,24,20,12,7
559,3,4,16,17,7,2
560,9,19,4,8,15,17
561,14,4,13,15,21,11
562,6,7,17,5,14,15
563,7,3,1,12,6,2
564,16,23,9,3,8,21
565,13,21,10,7,12,22
566,8,7,14,21,19,1
567,24,11,6,19,20,3
568,21,7,9,24,1,23
569,3,18,24,20,8,4
570,6,22,8,19,10,5
571,16,6,2,20,13,3
572,4,9,14,21,20,24
573,17,12,23,11,6,4
574,11,12,24,15,17,19
575,1,16,20,4,8,13
576,24,7,9,19,5,16
577,11,8,12,9,5,1
578,20,22,6,17,13,16
579,15,2,1,23,16,20
580,10,7,3,16,9,5
581,20,17,7,14,13,19
582,12,10,19,14,5,22
583,24,15,5,22,7,4
584,4,23,11,16,24,12
585,4,6,20,19,9,13
586,5,9,11,3,12,24
587,13,19,17,5,12,22
588,12,19,3,23,7,9
589,10,9,22,7,3,12
590,7,11,8,9,10,24
591,18,13,12,23,11,24
592,21,20,13,22,5,4
593,20,12,10,8,11,5
594,4,10,11,3,16,21
595,6,16,2,17,5,8
596,3,5,14,9,10,13
597,9,18,3,23,20,10
598,21,23,2,5,13,20
599,6,13,22,24,10,4
600,17,13,2,12,10,19
601,19,23,10,16,1,8
602,13,20,18,19,17,12
603,7,16,15,5,23,8
604,12,17,24,2,3,10
605,23,16,15,19,5,11
606,8,11,19,6,9,3
607,15,20,4,19,24,2
608,1,4,16,13,24,3
609,6,11,16,2,7,1
610,10,3,21,16,4,7
611,16,24,22,23,2,13
612,19,24,1,5,13,12
613,10,17,22,9,19,11
614,24,10,3,22,17,16
615,7,18,14,10,23,22
616,24,5,12,21,20,11
617,3,7,15,6,4,5
618,8,12,13,22,4,21
619,4,20,15,12,3,19
620,18,14,20,9,10,13
621,15,10,2,8,13,7
622,13,10,18,12,9,1
623,6,21,22,9,3,7
624,22,10,19,17,20,11
625,6,7,13,24,9,1
626,16,20,24,10,15,14
627,18,5,17,20,16,6
628,2,22,23,10,11,4
629,18,10,4,21,15,3
630,9,5,3,15,11,21
631,14,6,16,3,9,23
632,22,8,20,13,4,18
633,12,14,17,19,11,13
634,12,4,17,22,16,7
635,6,1,11,20,10,2
636,20,24,16,4,5,12
637,2,6,13,17,4,1
638,13,12,19,18,5,22
639,2,17,15,23,12,8
640,22,6,20,13,18,7
641,11,5,19,15,21,17
642,13,20,17,15,7,3
643,4,15,24,17,21,2
644,19,15,3,20,2,23
645,19,18,5,17,10,14
646,16,7,9,4,22,8
647,10,15,5,17,14,7
648,5,12,2,1,18,20
649,4,14,24,21,12,11
650,18,23,6,12,14,9
651,17,6,21,11,15,23
652,10,9,22,5,6,15
653,23,21,2,13,5,12
654,14,5,21,15,3,12
655,4,18,20,14,23,24
656,20,17,2,7,18,13
657,2,1,3,23,13,24
658,7,18,8,19,12,15
659,23,7,10,22,13,21
660,19,14,24,4,6,11
661,14,6,22,17,23,10
662,12,8,22,23,16,10
663,3,18,24,11,9,14
664,4,18,16,7,14,13
665,5,11,8,19,18,4
666,8,5,12,7,16,9
667,1,2,9,23,18,16
668,1,14,3,5,17,21
669,24,10,16,23,19,12
670,24,3,6,18,23,7
671,2,19,15,6,4,9
672,23,13,19,6,16,9
673,12,5,4,10,7,14
674,9,18,17,20,13,6
675,19,3,6,12,1,16
676,19,4,7,16,12,18
677,12,15,9,7,8,13
678,9,17,12,1,22,3
679,16,18,6,3,14,12
680,22,8,16,12,23,10
681,7,22,15,6,10,13
682,4,8,24,6,16,11
683,21,6,2,5,13,15
684,14,6,5,8,1,23
685,3,11,21,13,17,23
686,12,14,1,6,5,9
687,10,13,14,19,9,6
688,13,20,3,1,17,22
689,19,20,23,15,18,14
690,20,23,15,21,7,11
691,24,20,5,6,8,19
692,15,10,18,16,13,6
693,13,2,1,20,16,23
694,3,9,11,24,21,18
695,19,2,18,15,17,12
696,13,10,7,17,3,21
697,9,2,1,6,5,20
698,9,6,8,23,13,15
699,18,7,3,14,6,2
700,5,7,15,8,20,11
701,1,6,21,7,15,16
702,5,8,23,19,2,1
703,16,20,21,11,18,22
704,9,22,17,16,24,1
705,6,2,12,15,19,18
706,21,20,14,5,15,11
707,1,4,2,20,5,3
708,14,3,4,6,9,16
709,1,23,20,22,2,14
710,3,23,17,11,7,13
711,22,9,19,20,16,21
712,11,20,4,6,21,13
713,15,3,12,9,16,17
714,3,12,8,15,22,9
715,15,7,17,10,24,8
716,22,17,8,19,24,14
717,10,23,5,7,1,16
718,13,19,22,21,11,8
719,19,2,5,16,20,18
720,2,10,5,18,7,13
721,11,23,8,7,2,24
722,4,7,15,8,5,20
723,9,5,7,1,24,22
724,22,16,11,2,10,23
725,17,1,18,22,10,4
726,7,5,12,15,1,22
727,9,24,14,5,20,8
728,10,2,23,6,9,20
729,6,18,21,13,12,19
730,13,20,18,4,21,17
731,17,23,4,12,5,1
732,17,8,10,13,14,7
733,6,11,21,14,16,12
734,13,1,20,19,15,17
735,17,14,23,5,16,9
736,17,22,8,5,9,1
737,8,15,21,19,10,16
738,4,3,7,20,5,22
739,5,15,13,20,1,22
740,20,14,10,24,13,23
741,12,13,6,4,21,15
742,12,11,13,3,4,7
743,5,8,9,22,7,1
744,23,10,24,16,9,12
745,18,9,21,17,2,6
746,3,20,13,19,10,8
747,14,8,7,24,9,12
748,14,8,7,24,12,17
749,3,20,13,9,18,23
750,6,4,12,11,21,18
751,18,23,13,9,19,11
752,21,11,3,16,9,18
753,6,20,8,7,5,19
754,10,24,9,7,23,20
755,6,22,13,15,20,3
756,8,20,2,19,22,7
757,3,5,11,4,22,8
758,9,6,2,24,11,14
759,17,23,24,10,8,20
760,10,22,4,13,1,8
761,2,9,6,1,11,24
762,23,14,20,5,6,13
763,9,19,15,22,7,13
764,10,2,3,7,20,6
765,5,18,9,11,1,16
766,16,9,3,22,2,7
767,15,3,17,14,2,5
768,11,23,5,20,22,15
769,21,13,12,18,1,15
770,3,8,6,11,21,4
771,16,9,8,11,2,18
772,19,20,16,21,17,6
773,20,15,3,16,23,12
774,23,19,15,5,20,8
775,8,1,9,23,4,19
776,6,17,3,11,20,10
777,2,16,15,11,12,8
778,4,17,9,12,10,15
779,2,9,13,23,21,20
780,14,15,11,23,9,6
781,12,21,17,6,9,10
782,16,13,23,6,24,15
783,5,14,8,22,3,16
784,2,23,20,19,18,8
785,16,4,1,8,23,24
786,8,2,5,22,7,15
787,21,24,7,3,23,6
788,10,18,7,17,19,16
789,24,21,5,4,12,19
790,2,24,23,5,8,9
791,12,18,5,4,6,9
792,19,24,7,3,12,23
793,9,22,21,16,10,19
794,17,6,13,16,5,1
795,5,15,17,24,1,4
796,8,16,13,14,11,22
797,20,16,3,15,9,8
798,22,10,9,13,12,6
799,17,6,4,22,18,3
800,2,15,7,6,4,19
801,21,4,15,16,7,1
802,7,11,2,20,5,1
803,10,21,7,15,9,18
804,20,18,12,3,1,11
805,9,21,14,11,2,7
806,4,21,24,19,5,14
807,18,8,17,15,22,7
808,18,9,13,15,21,4
809,7,13,10,5,15,2
810,14,23,10,3,11,1
811,18,2,8,21,19,13
812,4,10,16,24,3,20
813,11,8,16,24,7,22
814,1,21,4,17,13,5
815,2,13,15,24,1,23
816,3,20,22,2,5,11
817,11,1,13,18,23,6
818,23,22,1,5,9,2
819,18,20,5,11,4,10
820,15,8,13,18,23,9
821,3,15,20,10,8,11
822,1,5,7,11,20,22
823,18,24,7,10,12,22
824,21,4,17,19,1,15
825,2,7,20,16,6,13
826,13,17,4,15,11,24
827,14,17,24,9,1,12
828,17,6,4,3,9,24
829,4,20,7,17,22,16
830,5,14,11,7,18,10
831,4,17,14,24,5,9
832,6,24,8,13,21,3
833,3,23,5,19,8,11
834,14,24,22,20,6,12
835,24,2,19,5,16,9
836,13,15,2,8,21,7
837,21,16,18,8,13,17
838,18,5,24,14,6,22
839,6,5,4,11,14,1
840,6,2,7,13,14,20
841,5,8,7,3,21,6
842,4,14,19,13,2,15
843,1,5,20,12,19,4
844,3,14,19,11,16,9
845,7,18,1,15,2,11
846,17,18,8,22,16,24
847,9,14,3,4,7,1
848,21,10,17,6,2,5
849,11,9,21,13,17,20
850,8,14,24,16,3,4
851,13,10,18,19,11,16
852,18,8,10,19,15,21
853,20,8,6,3,19,12
854,9,3,4,15,1,12
855,1,22,16,11,14,7
856,2,12,20,22,5,6
857,14,5,17,15,21,9
858,14,7,21,2,24,12
859,6,5,17,9,15,24
860,24,12,3,5,17,19
861,12,5,14,16,4,23
862,22,1,3,11,18,21
863,8,22,11,23,14,6
864,5,9,6,13,18,7
865,3,6,9,14,12,23
866,9,24,4,17,8,1
867,2,21,8,13,19,1
868,24,15,13,17,23,11
869,11,5,18,12,23,16
870,14,1,5,9,24,6
871,19,5,15,18,9,8
872,9,16,12,4,10,3
873,13,5,12,14,17,23
874,8,21,10,22,14,11
875,6,15,17,2,20,23
876,7,1,5,2,12,18
877,5,16,6,10,22,2
878,1,2,15,22,7,16
879,10,11,14,1,5,12
880,18,9,11,23,14,5
881,12,10,7,22,1,6
882,7,4,23,22,5,6
883,18,24,8,23,16,12
884,1,11,5,2,4,16
885,2,22,11,5,10,14
886,13,20,6,17,8,10
887,6,19,1,22,2,23
888,16,5,9,20,10,21
889,20,3,4,2,16,5
890,7,9,4,6,20,16
891,8,18,14,5,23,21
892,9,24,5,10,15,21
893,20,22,4,19,8,10
894,11,22,15,24,13,4
895,11,5,20,4,6,14
896,4,8,14,1,11,3
897,20,24,23,10,5,7
898,2,3,5,8,17,10
899,13,5,20,10,12,8
900,8,7,12,14,11,1
901,14,2,15,21,1,18
902,16,8,9,7,11,13
903,19,11,23,22,20,15
904,19,12,18,3,20,21
905,7,5,4,9,8,3
906,8,19,23,13,9,11
907,4,3,22,21,13,17
908,5,2,7,22,16,1
909,1,22,19,11,23,8
910,9,18,22,4,5,21
911,12,2,14,5,17,16
912,13,15,19,8,10,2
913,17,1,18,10,11,24
914,3,1,6,20,23,2
915,11,8,4,2,20,22
916,1,18,8,7,21,6
917,21,22,2,3,10,19
918,8,13,23,2,22,9
919,17,2,12,3,15,11
920,16,18,3,6,9,10
921,6,21,4,10,22,15
922,22,5,7,24,12,19
923,14,10,19,6,22,8
924,15,16,24,18,21,6
925,14,17,11,8,1,6
926,18,24,1,16,14,21
927,14,3,17,12,2,10
928,9,20,15,21,19,6
929,10,4,5,2,3,1
930,2,11,5,13,14,19
931,11,24,20,19,3,10
932,19,9,4,2,17,11
933,19,21,13,9,18,2
934,24,5,21,7,19,20
935,6,7,4,2,12,16
936,9,10,13,5,11,4
937,6,22,20,8,9,3
938,17,15,3,4,5,6
939,12,17,11,6,4,3
940,3,4,22,16,12,20
941,16,9,11,19,12,14
942,12,5,1,10,23,2
943,23,18,8,19,11,10
944,11,13,3,5,24,16
945,20,11,8,9,5,6
946,15,7,23,24,14,3
947,13,1,9,10,14,11
948,21,2,20,24,6,11
949,15,14,7,23,9,10
950,2,14,9,21,3,13
951,24,22,21,23,19,17
952,23,10,9,12,19,2
953,20,9,8,24,5,11
954,11,14,15,7,23,22
955,1,24,13,6,11,22
956,22,11,9,12,3,13
957,14,17,5,24,10,9
958,15,6,8,2,18,16
959,5,8,4,13,15,1
960,19,1,13,11,7,10
961,1,5,17,6,15,20
962,11,5,18,24,12,21
963,22,13,23,14,20,16
964,24,7,9,5,8,18
965,22,18,20,4,13,2
966,11,14,20,15,23,22
967,4,9,14,12,17,8
968,24,1,16,18,6,21
969,13,21,23,6,20,4
970,21,1,24,19,10,16
971,3,22,9,15,5,24
972,8,11,20,12,2,19
973,19,17,13,4,2,14
974,20,6,3,16,17,22
975,5,13,12,17,16,15
976,10,21,9,5,13,15
977,6,1,21,14,22,13
978,22,13,10,11,12,20
979,4,21,17,18,5,24
980,16,12,2,22,6,11
981,1,6,23,4,11,3
982,9,4,14,15,7,8
983,10,22,23,13,3,9
984,18,6,20,9,21,19
985,2,19,1,14,20,9
986,21,19,5,22,7,1
987,24,4,8,19,13,9
988,6,4,8,1,3,5
989,8,23,15,9,22,21
990,9,23,6,14,5,12
991,13,22,8,9,15,11
992,7,20,3,16,24,9
993,4,24,20,3,2,9
994,21,15,18,22,5,23
995,14,24,15,1,21,10
996,23,4,15,14,13,11
997,22,8,9,15,1,6
