,A,B,C,D,E,F,G,H,I,J,K,L
56,20,13,14,21,6,35,30,31,26,34,25,27
57,14,8,34,10,20,7,32,19,18,4,30,12
58,32,21,26,4,29,31,12,13,22,17,33,14
59,31,35,8,24,13,1,10,4,16,19,15,36
60,11,10,32,29,18,33,31,8,27,14,4,19
61,22,3,30,25,32,33,16,1,12,26,13,36
62,35,22,14,12,4,32,10,21,34,27,9,11
63,34,12,5,30,2,25,17,21,20,36,22,18
64,32,24,19,22,10,35,1,25,11,30,15,27
65,8,24,26,31,28,36,19,6,27,25,10,18
66,4,31,15,28,34,11,19,16,30,10,13,24
67,25,21,2,13,6,8,3,1,24,9,34,4
68,4,17,13,15,22,14,3,1,32,23,11,33
69,3,35,13,7,23,21,19,24,26,18,25,22
70,15,22,18,21,32,28,31,7,33,9,20,3
71,6,4,24,34,20,29,35,18,8,32,36,33
72,1,12,28,2,6,34,5,32,13,11,23,31
73,9,35,19,18,24,13,17,8,27,2,10,14
74,32,10,35,11,19,2,22,30,36,5,7,8
75,18,34,7,16,14,10,9,21,33,29,5,35
76,35,11,30,2,26,5,28,12,17,14,10,27
77,32,7,33,5,31,15,10,22,16,34,11,6
78,10,33,3,23,5,22,30,26,9,11,7,31
79,24,2,35,14,29,10,20,36,16,15,8,21
80,1,5,26,28,21,13,25,3,30,10,33,35
81,26,31,30,21,2,11,34,20,18,4,6,16
82,11,28,30,23,1,9,35,13,26,21,36,18
83,5,29,3,2,6,36,33,26,14,15,24,16
84,13,10,31,25,17,7,26,34,28,30,6,15
85,36,26,8,4,31,35,15,7,33,21,27,2
86,16,17,35,3,7,8,11,13,10,6,24,25
87,8,25,6,2,9,23,1,4,12,26,14,20
88,34,9,8,21,18,10,6,31,13,35,16,25
89,9,4,2,21,16,28,19,11,30,6,7,33
90,22,35,3,9,11,13,19,1,30,26,17,16
91,2,5,33,22,18,11,24,10,28,21,3,17
92,29,25,16,12,11,20,14,26,9,23,3,24
93,7,28,18,2,4,32,12,10,29,5,23,6
94,34,2,26,29,11,17,18,32,22,13,23,4
95,33,2,32,5,3,27,15,9,25,10,7,11
96,7,2,36,24,12,4,21,9,22,18,19,13
97,6,8,5,36,35,26,3,34,25,23,24,17
98,8,29,11,22,36,34,24,32,14,35,28,12
99,29,21,13,14,15,17,2,12,33,3,10,32
100,36,31,34,8,10,28,16,29,18,5,2,9
101,14,12,31,33,7,6,5,16,18,10,22,25
102,34,17,19,7,30,33,31,11,5,13,2,18
103,23,14,20,9,17,15,25,31,29,11,28,5
104,2,15,14,34,32,22,28,3,6,25,1,29
105,7,21,33,3,24,5,17,6,2,13,27,34
106,21,35,28,25,4,9,33,6,34,32,15,11
107,6,16,24,7,32,9,3,30,22,1,17,27
108,25,36,1,28,17,4,11,33,16,9,18,32
109,2,31,28,1,18,32,30,13,11,23,17,5
110,7,1,25,4,35,16,2,23,19,3,14,21
111,21,14,31,16,2,20,6,3,4,24,32,34
112,36,14,15,26,27,22,7,24,13,10,23,5
113,7,11,14,5,28,13,22,19,2,1,24,9
114,8,34,13,32,19,15,21,29,7,23,26,36
115,2,35,30,28,8,21,29,9,31,25,32,5
116,1,14,29,20,17,9,32,33,26,5,35,13
117,17,26,18,10,14,6,7,16,5,23,1,20
118,1,20,21,25,32,33,31,36,26,8,11,24
119,36,18,6,21,5,3,12,14,7,22,1,13
120,25,28,33,29,2,12,23,30,18,34,16,14
121,12,16,13,28,5,26,19,8,33,3,11,1
122,28,18,3,20,23,16,19,27,13,34,9,35
123,30,5,31,34,36,4,14,9,7,26,6,8
124,11,10,35,28,25,15,7,30,29,3,20,9
125,35,29,2,32,26,7,22,24,31,8,34,36
126,35,27,22,6,31,11,34,26,15,19,21,30
127,25,10,22,20,24,33,7,26,3,5,21,9
128,22,26,7,15,14,24,23,5,35,33,6,12
129,3,31,17,10,19,35,29,20,12,34,30,13
130,35,11,5,14,34,25,18,4,27,32,3,23
131,23,24,22,28,18,26,14,34,15,10,31,2
132,25,23,36,12,8,28,34,1,3,19,29,16
133,17,1,34,32,31,12,36,6,3,7,13,11
134,35,1,4,15,9,30,21,36,29,22,23,5
135,30,17,18,2,31,9,15,7,32,19,35,23
136,28,11,24,18,20,27,7,9,1,25,32,26
137,12,24,27,31,8,17,13,18,35,5,36,29
138,4,32,25,27,7,36,26,35,10,11,15,29
139,8,36,34,20,35,13,6,27,2,17,14,28
140,31,19,28,16,29,11,14,24,8,15,4,32
141,25,31,29,35,34,8,4,11,27,21,9,15
142,28,5,3,30,36,12,22,35,26,8,21,7
143,10,12,17,30,24,25,31,4,35,26,5,20
144,24,12,14,20,31,15,7,26,8,11,30,29
145,14,9,17,26,28,12,1,24,36,5,29,18
146,26,13,8,5,32,10,28,22,31,11,7,3
147,17,16,29,21,13,6,19,10,4,26,1,7
148,36,21,11,34,28,16,20,1,23,32,13,4
149,33,36,3,10,16,13,2,21,20,5,31,35
150,14,5,11,21,19,2,23,32,9,1,33,17
151,35,23,4,21,11,14,15,28,31,3,22,25
152,7,28,16,14,9,26,21,1,12,30,11,15
153,15,7,18,32,16,12,9,31,13,22,19,23
154,21,17,12,31,8,11,7,4,25,32,15,23
155,12,35,6,19,1,8,14,7,36,32,3,17
156,28,23,14,5,8,33,1,13,16,27,30,32
157,17,18,34,28,23,22,29,10,33,30,25,11
158,19,4,27,31,7,8,17,2,22,12,18,36
159,20,19,29,6,9,24,7,15,28,27,17,8
160,24,4,6,36,20,21,9,34,12,19,23,5
161,36,8,18,16,9,7,4,29,25,2,24,12
162,34,15,32,13,35,22,30,31,27,33,14,2
163,9,5,22,18,15,32,28,29,4,2,23,1
164,35,22,34,30,27,24,28,10,5,25,15,31
165,30,19,24,22,13,9,7,35,14,5,27,26
166,13,7,1,14,6,27,8,19,9,15,36,28
167,12,11,2,30,21,20,4,28,31,34,25,32
168,32,33,12,23,15,13,2,4,26,30,22,35
169,17,22,10,16,12,7,32,1,30,8,13,33
170,27,18,26,9,28,22,7,15,32,4,17,31
171,9,19,21,16,27,2,7,31,11,6,33,34
172,27,28,32,16,33,12,10,31,34,30,36,23
173,10,1,5,29,28,31,4,11,18,35,30,34
174,26,7,33,20,34,19,17,3,35,22,29,9
175,13,26,36,23,34,7,28,6,3,29,5,16
176,23,13,35,31,32,24,33,7,10,20,29,14
177,33,32,8,5,21,17,25,30,12,29,10,13
178,21,17,1,3,23,33,34,13,31,5,10,12
179,30,19,17,28,25,8,16,34,5,4,9,26
180,27,12,1,28,26,9,5,35,23,16,34,19
181,11,18,7,5,29,34,26,3,24,28,36,10
182,23,16,10,14,9,6,19,22,36,35,2,34
183,3,30,28,9,1,15,12,17,23,14,19,29
184,25,22,21,29,11,9,30,7,10,31,23,19
185,28,33,10,31,22,23,13,2,1,4,12,35
186,27,5,23,12,4,22,21,10,26,17,8,25
187,20,29,3,26,22,16,12,13,35,10,32,27
188,30,17,16,32,4,36,19,29,26,23,10,3
189,8,18,32,3,15,2,24,17,33,25,30,19
190,9,13,24,15,29,36,32,3,1,28,23,6
191,12,5,24,16,4,31,8,33,19,22,21,29
192,27,10,19,33,18,8,32,14,13,7,5,3
193,19,29,3,8,10,33,6,28,31,5,34,11
194,13,24,23,4,32,9,15,17,22,34,10,28
195,8,36,26,32,12,13,11,5,20,25,17,34
196,13,29,8,15,19,23,35,24,33,32,6,18
197,36,28,30,35,10,34,21,33,4,9,29,19
198,24,25,26,9,3,10,12,23,20,22,1,31
199,26,15,6,11,16,25,28,18,9,2,30,29
200,22,10,13,4,30,20,15,12,24,17,18,3
201,5,20,24,16,32,10,18,19,25,12,36,14
202,33,1,26,8,19,5,30,16,29,13,21,4
203,31,24,1,35,23,12,22,20,6,32,8,14
204,1,11,29,15,22,27,7,30,36,31,5,16
205,9,10,5,1,3,8,28,31,26,11,4,23
206,10,5,21,3,26,23,19,9,18,32,29,35
207,6,29,11,13,21,32,18,23,35,31,3,17
208,31,3,23,32,11,10,25,35,1,7,14,2
209,27,11,31,17,16,15,21,1,23,26,13,36
210,3,11,26,20,19,24,15,28,12,16,4,9
211,2,8,7,11,9,10,23,27,36,28,26,22
212,18,21,13,7,31,10,34,19,28,9,1,36
213,26,14,2,11,1,10,30,24,20,6,21,31
214,32,33,34,22,30,14,2,16,6,19,1,26
215,9,7,32,28,18,15,23,2,8,1,29,10
216,10,34,3,31,24,16,21,19,13,26,8,33
217,18,6,10,8,27,22,17,31,9,26,28,20
218,24,17,4,29,5,28,26,19,23,11,20,34
219,18,28,14,19,13,26,9,1,5,20,21,29
220,33,12,1,30,25,13,20,22,16,26,32,19
221,33,35,9,12,18,29,28,3,23,5,36,15
222,3,19,18,22,14,15,6,9,27,2,31,11
223,22,17,8,15,4,3,9,5,12,14,13,2
224,30,24,7,34,21,10,29,9,28,14,32,27
225,12,29,33,21,27,18,9,7,2,11,1,8
226,1,25,31,34,4,6,18,26,24,14,22,23
227,6,26,7,21,33,15,32,3,24,25,2,12
228,35,28,10,4,12,32,17,33,13,27,26,11
229,20,13,2,28,36,17,5,21,11,25,16,3
230,13,2,29,12,10,33,30,24,1,36,27,4
231,18,22,28,1,36,19,12,6,35,13,25,30
232,25,22,16,8,2,33,27,14,18,21,1,32
233,4,3,27,23,34,31,19,15,8,30,10,33
234,17,4,31,36,7,33,20,23,16,22,25,18
235,1,14,12,27,36,35,32,34,18,13,8,25
236,9,1,11,25,4,8,16,21,5,33,10,22
237,9,21,18,27,4,15,16,26,34,22,1,35
238,9,2,10,30,25,31,17,15,18,20,27,35
239,25,16,6,12,1,21,14,30,22,34,2,19
240,16,26,5,1,32,22,25,30,12,27,18,11
241,30,19,17,29,1,13,3,16,5,24,34,28
242,28,30,20,22,12,19,11,9,21,14,16,32
243,7,12,11,1,33,3,2,32,21,23,6,13
244,35,16,2,26,22,34,17,1,6,25,15,21
245,36,33,21,16,4,32,19,24,29,30,15,22
246,17,5,35,7,10,4,6,26,1,32,15,2
247,29,18,31,33,3,25,5,9,1,24,20,2
248,15,18,17,10,6,7,36,23,8,21,9,20
249,33,35,8,24,3,30,5,21,10,1,20,31
250,19,9,22,31,14,26,21,4,29,1,17,28
251,16,11,33,27,3,23,5,21,13,32,29,35
252,18,1,20,16,8,3,26,7,25,12,9,34
253,14,7,8,25,32,27,2,15,22,18,21,13
254,27,19,20,32,3,35,21,31,9,11,18,26
255,30,4,6,35,12,18,33,21,34,14,27,9
256,1,19,16,9,31,23,8,29,10,4,12,28
257,5,31,26,34,9,16,2,7,11,13,28,14
258,26,31,15,14,17,2,19,10,20,9,7,35
259,2,10,27,17,3,7,29,6,15,8,13,16
260,16,28,5,3,33,7,4,18,23,30,17,11
261,15,22,23,17,36,31,5,25,8,21,16,7
262,22,19,16,8,5,15,24,6,29,26,33,30
263,14,4,3,13,5,22,1,25,16,8,23,28
264,14,32,12,27,9,10,24,8,31,21,22,28
265,26,29,14,1,30,16,36,31,20,5,17,27
266,2,22,34,9,28,31,3,19,32,20,13,27
267,9,7,35,12,34,27,22,13,11,8,24,25
268,22,32,19,31,15,33,9,24,13,36,6,30
269,33,19,14,23,30,36,20,24,6,28,27,26
270,2,13,8,1,32,6,27,12,15,34,31,24
271,28,30,10,20,1,21,6,29,23,11,15,19
272,31,12,2,21,34,24,25,13,7,1,17,19
273,17,2,29,10,12,16,34,30,23,5,15,32
274,23,15,6,1,34,16,21,22,14,17,28,2
275,20,30,6,25,31,34,24,28,14,2,12,1
276,30,32,16,7,33,4,3,20,9,23,10,25
277,5,17,21,11,29,32,22,35,28,20,19,30
278,34,12,23,7,2,3,24,25,13,35,36,33
279,17,20,3,1,6,10,5,18,27,7,12,32
280,29,30,18,10,24,5,7,27,3,26,6,35
281,19,5,29,17,10,8,28,34,1,7,21,25
282,16,28,30,22,9,18,15,13,29,5,25,20
283,5,2,14,25,4,13,35,28,29,7,30,10
284,33,19,16,29,27,23,1,24,34,4,26,20
285,11,27,36,22,16,23,3,34,24,33,20,8
286,21,20,14,6,32,15,7,9,35,5,1,31
287,22,35,4,1,11,18,25,20,28,2,33,23
288,8,36,15,12,4,27,3,25,32,30,1,10
289,7,5,8,22,4,20,1,17,33,2,15,13
290,27,16,2,13,10,12,35,3,28,17,6,7
291,15,6,18,21,36,29,16,12,32,35,23,28
292,36,29,12,33,6,5,14,19,15,32,35,3
293,3,11,31,17,9,10,29,5,36,21,8,18
294,1,2,18,24,9,19,32,13,6,36,17,23
295,28,26,2,15,19,31,14,34,3,4,22,36
296,34,16,11,14,31,23,27,18,36,15,33,28
297,12,34,29,8,3,28,22,26,19,14,2,6
298,36,24,34,13,25,1,12,21,3,8,10,7
299,23,18,2,7,15,3,16,30,11,20,6,19
300,19,5,29,35,33,16,6,11,15,21,23,4
301,23,34,7,27,20,14,12,22,36,26,29,3
302,20,22,24,1,7,10,35,13,29,12,30,17
303,13,22,23,31,5,24,6,26,8,30,20,21
304,26,7,4,30,35,20,10,1,22,28,6,16
305,31,26,20,28,7,21,27,24,32,10,25,16
306,8,10,12,29,28,35,33,18,9,16,5,15
307,26,16,1,12,36,10,7,32,23,9,13,35
308,21,5,26,3,13,34,24,28,18,35,30,16
309,33,19,26,5,15,8,11,18,30,36,28,6
310,2,32,21,31,26,14,30,5,27,29,9,25
311,21,15,11,33,19,3,12,30,34,27,29,32
312,25,7,17,6,32,27,19,30,34,35,14,24
313,20,19,3,17,29,33,16,36,11,27,2,18
314,16,13,31,14,24,34,19,8,23,10,25,6
315,15,9,31,6,22,27,34,1,19,7,17,4
316,22,1,32,11,36,31,17,34,12,23,29,16
317,21,6,8,12,19,30,5,27,31,10,34,26
318,27,1,7,5,20,9,33,25,4,35,17,13
319,10,7,23,2,21,31,35,36,33,34,30,4
320,19,29,28,22,31,12,5,23,18,33,21,14
321,35,36,13,34,31,26,2,16,10,15,32,22
322,13,36,22,23,20,30,35,10,27,6,12,1
323,17,19,11,32,24,34,26,30,25,18,9,4
324,16,10,5,17,6,12,35,14,7,22,3,33
325,10,23,1,3,7,20,21,13,29,27,6,24
326,4,28,7,23,14,1,2,9,31,16,34,32
327,11,18,22,12,29,15,7,26,19,3,36,14
328,4,20,24,5,1,32,22,8,31,33,15,2
329,18,26,5,31,8,33,24,25,14,28,13,1
330,35,19,28,30,11,23,10,12,8,9,4,20
331,30,14,22,19,23,33,21,1,26,35,12,24
332,8,35,14,29,32,4,23,7,18,10,31,28
333,17,34,23,25,20,26,35,19,18,29,16,33
334,25,18,29,33,21,34,8,16,4,14,30,11
335,15,17,18,14,1,32,19,10,28,26,34,6
336,12,29,28,22,21,27,33,6,13,36,3,31
337,26,10,27,32,36,15,30,28,20,12,14,18
338,22,1,29,31,13,24,32,26,30,34,6,4
339,34,24,29,16,21,35,28,18,19,13,3,20
340,36,20,7,6,33,3,27,5,1,9,22,31
341,12,25,11,17,15,10,4,5,26,32,3,36
342,3,5,27,22,36,2,17,4,26,29,28,11
343,15,8,2,24,13,23,16,29,12,10,5,32
344,12,23,13,3,36,26,9,2,28,17,14,5
345,16,15,17,27,11,3,2,34,6,29,8,4
346,19,21,16,17,30,25,22,34,8,3,7,18
347,16,22,34,6,36,30,28,11,21,9,27,14
348,21,22,36,16,27,15,4,14,31,12,19,1
349,26,21,33,16,24,10,30,12,6,27,18,5
350,20,12,27,33,1,5,8,7,11,2,17,36
351,17,31,28,34,10,8,6,9,29,16,1,5
352,8,30,35,18,32,16,34,26,2,19,17,23
353,21,20,8,32,22,33,6,19,31,7,24,3
354,23,22,9,31,15,7,8,17,24,36,21,26
355,26,10,25,3,24,15,32,28,8,31,20,30
356,29,33,27,2,34,30,36,6,31,8,24,17
357,2,9,18,8,20,6,10,7,27,31,33,14
358,36,29,16,26,31,1,19,14,34,25,7,8
359,25,34,12,8,27,32,13,10,5,14,29,36
360,36,33,9,5,13,2,8,17,11,34,25,31
361,1,30,36,4,23,9,13,10,31,7,18,14
362,21,13,9,22,17,4,31,12,36,29,14,23
363,15,32,17,20,2,33,9,13,4,23,1,30
364,10,35,2,17,34,4,18,3,7,29,1,14
365,33,32,25,5,16,19,4,24,36,31,35,10
366,13,30,6,21,14,8,36,12,19,34,27,29
367,19,29,27,20,22,32,9,34,13,7,35,8
368,36,20,11,12,22,30,31,2,32,16,13,27
369,17,5,9,35,23,12,21,29,1,13,36,7
370,24,17,5,9,12,33,3,25,4,13,7,35
371,31,30,21,25,29,16,17,12,26,8,35,6
372,23,2,33,36,24,11,27,26,4,1,16,15
373,33,25,34,26,2,21,36,12,23,11,5,9
374,14,8,22,4,3,18,30,34,28,12,20,13
375,30,4,9,22,11,31,14,13,2,21,35,26
376,9,16,29,1,15,20,6,27,26,24,25,8
377,4,17,32,3,31,8,27,6,33,36,24,23
378,6,18,28,34,1,17,10,12,29,25,9,13
379,28,27,8,31,9,11,17,2,20,21,30,29
380,26,11,3,12,25,28,13,21,18,33,20,34
381,18,3,8,19,36,32,14,34,2,15,7,24
382,23,24,19,7,11,13,21,33,28,12,29,8
383,2,11,14,21,8,15,28,1,10,20,22,31
384,28,15,26,23,17,18,9,7,8,34,6,14
385,35,29,31,15,24,21,7,3,34,26,8,4
386,13,20,23,25,29,30,17,16,35,19,32,7
387,34,20,33,9,22,30,16,35,14,31,36,19
388,21,11,34,33,2,19,27,31,6,5,18,29
389,23,6,11,27,21,1,17,15,12,30,8,18
390,36,30,25,10,14,9,15,16,31,2,27,28
391,11,18,15,27,21,14,16,17,3,32,10,33
392,32,22,23,27,14,34,30,1,28,3,12,21
393,30,10,15,14,3,28,24,4,5,17,16,35
394,21,17,30,4,25,33,10,5,32,14,26,12
395,36,17,28,22,21,5,16,8,1,23,32,24
396,17,28,20,34,10,16,24,36,3,21,30,1
397,3,20,36,19,10,22,32,31,24,9,28,1
398,17,20,11,12,35,2,26,7,21,18,1,36
399,30,31,10,34,27,36,4,26,24,9,20,28
400,17,26,34,20,16,11,3,1,24,7,8,4
401,3,21,16,28,27,10,36,22,31,25,2,15
402,19,9,35,3,27,12,18,15,22,33,2,4
403,22,18,3,7,31,9,1,4,25,32,27,6
404,9,23,31,26,21,32,2,10,6,27,18,29
405,25,24,33,11,18,6,30,14,36,21,34,15
406,20,3,15,11,9,32,19,8,29,23,30,25
407,29,36,10,9,3,15,17,34,24,6,25,12
408,26,31,36,10,19,2,32,33,34,18,25,27
409,18,26,31,3,24,9,4,22,7,21,33,36
410,16,36,3,21,33,1,4,31,19,6,15,8
411,29,2,31,11,15,17,7,14,16,5,4,1
412,35,2,6,23,34,12,7,14,27,26,9,36
413,34,1,29,17,36,8,35,32,14,21,3,18
414,27,11,6,3,28,7,15,8,32,10,1,31
415,11,33,31,1,32,18,35,15,22,17,26,23
416,15,27,5,36,28,14,12,10,26,35,1,21
417,8,33,11,21,32,24,7,29,2,25,36,31
418,12,16,1,35,3,34,36,11,30,28,14,6
419,12,29,32,33,27,35,4,18,28,9,26,3
420,31,33,2,16,11,27,9,13,4,8,29,18
421,11,10,20,5,24,19,30,18,36,28,21,17
422,6,15,3,21,35,22,10,26,32,17,36,18
423,34,25,20,8,1,36,3,4,24,9,28,17
424,13,2,15,22,18,8,19,5,20,31,26,12
425,27,8,1,4,12,26,30,11,32,14,9,34
426,1,6,16,7,8,20,26,12,5,4,36,33
427,36,29,5,23,34,9,8,7,25,10,14,16
428,18,27,2,24,7,5,1,8,35,22,10,30
429,24,26,11,33,17,32,19,9,34,36,15,30
430,10,6,35,16,21,24,23,34,13,30,36,14
431,12,10,5,16,30,18,3,34,17,36,15,20
432,13,28,3,5,19,1,14,11,35,2,15,23
433,8,16,4,28,21,27,26,36,19,23,30,9
434,26,13,10,35,34,21,14,8,32,9,15,12
435,18,4,9,11,34,2,31,27,16,30,35,25
436,25,10,2,11,31,21,8,28,4,26,1,24
437,6,11,32,23,4,29,20,24,9,13,19,15
438,8,15,22,34,19,25,17,23,3,18,11,30
439,24,9,18,8,30,33,6,17,32,5,20,22
440,36,31,8,18,29,3,23,6,1,14,9,34
441,27,8,16,30,13,9,31,1,18,12,32,23
442,19,26,33,8,12,27,15,9,36,2,31,13
443,18,32,3,35,5,19,16,13,6,20,21,7
444,21,20,13,27,2,8,22,23,6,14,7,33
445,20,17,10,5,9,16,36,31,30,12,7,2
446,8,7,24,14,17,30,20,1,34,35,32,12
447,16,10,9,12,29,14,4,15,6,23,7,19
448,15,11,20,7,3,21,14,30,22,1,33,5
449,10,1,12,22,36,14,24,30,32,26,25,33
450,3,11,1,25,17,24,34,31,23,26,28,6
451,29,6,9,14,18,10,25,26,23,8,13,16
452,12,17,33,2,28,16,26,23,35,36,7,18
453,16,29,14,25,2,32,4,24,31,1,19,23
454,34,19,32,17,27,21,16,7,20,4,18,15
455,11,35,28,34,16,3,32,26,2,27,30,29
456,26,27,9,33,3,16,17,32,23,4,25,15
457,30,36,19,23,4,26,1,3,25,11,18,7
458,4,25,35,22,5,2,30,21,8,11,23,16
459,35,1,32,26,33,10,19,18,23,2,25,14
460,1,22,15,13,24,26,2,10,29,36,11,35
461,22,15,21,19,30,36,14,17,29,2,20,4
462,17,10,8,16,21,3,26,1,12,7,31,13
463,20,13,4,24,32,2,8,18,15,3,16,29
464,23,33,8,1,3,13,14,5,6,2,31,21
465,8,26,16,31,7,12,10,4,5,29,3,9
466,7,36,3,5,11,34,28,24,12,6,20,2
467,31,4,24,36,6,8,21,17,10,12,35,20
468,21,32,34,3,17,26,11,15,4,31,5,19
469,1,11,16,29,9,27,30,21,5,25,32,28
470,20,4,5,3,29,22,11,31,1,19,25,12
471,28,3,14,25,20,2,36,7,35,24,8,34
472,30,3,36,26,12,15,2,1,17,35,24,9
473,24,27,2,23,19,32,26,25,18,1,17,9
474,22,7,1,15,10,11,20,30,24,32,28,36
475,13,28,25,30,4,33,10,8,6,15,1,18
476,16,1,7,36,32,3,33,26,24,10,18,27
477,30,10,11,27,2,35,5,29,18,7,36,25
478,35,10,23,27,16,6,5,20,28,14,18,33
479,34,9,31,35,15,13,7,4,28,2,12,10
480,23,25,29,5,31,3,35,19,30,12,14,2
481,9,18,4,20,25,31,33,15,11,10,16,13
482,34,12,7,16,6,13,4,29,17,32,26,18
483,23,8,18,5,4,7,24,33,22,32,21,11
484,23,10,18,4,8,7,31,29,5,30,34,16
485,8,6,10,27,25,3,18,28,36,7,20,29
486,29,26,8,27,11,25,19,4,35,22,15,31
487,18,17,28,6,10,4,30,13,29,34,24,32
488,28,20,5,2,16,33,30,31,8,25,3,13
489,10,21,4,36,25,2,3,34,20,28,9,22
490,5,8,27,20,19,3,15,10,22,18,30,36
491,31,12,35,18,5,15,10,32,2,20,14,1
492,27,7,32,15,11,5,3,19,13,24,26,25
493,30,26,7,34,28,19,29,12,23,32,5,17
494,15,24,20,26,22,9,1,35,28,30,36,14
495,13,22,20,29,24,21,31,7,3,6,10,19
496,10,16,15,24,6,5,7,12,19,29,26,27
497,31,5,34,35,29,6,33,1,19,3,15,21
498,13,17,24,33,7,22,5,29,11,1,4,30
499,6,29,23,24,35,2,25,22,28,16,14,27
500,21,8,28,33,18,10,11,24,2,27,14,4
501,6,32,15,3,27,35,21,28,34,23,20,5
502,22,36,26,14,4,2,20,28,11,34,27,15
503,26,4,22,16,24,19,29,36,15,6,17,11
504,15,8,14,26,19,35,3,1,27,28,18,30
505,2,9,32,7,21,28,6,3,20,14,25,30
506,19,27,32,2,25,4,13,17,11,5,29,20
507,15,7,12,36,9,25,28,30,27,24,10,3
508,35,14,24,19,31,27,9,16,25,8,36,6
509,25,2,32,24,19,11,5,18,35,4,20,9
510,13,21,17,24,3,4,36,8,2,5,15,10
511,24,3,18,26,7,33,11,31,12,23,14,10
512,10,25,27,30,1,13,16,19,8,32,14,29
513,30,24,20,21,14,4,23,36,13,15,10,8
514,14,13,26,15,23,35,9,18,32,25,3,5
515,30,31,22,35,33,27,28,12,18,21,8,20
516,30,2,21,3,8,29,5,14,16,27,23,17
517,6,8,24,9,20,36,21,3,13,30,32,34
518,3,8,17,10,30,18,12,9,31,1,19,35
519,30,29,24,31,21,1,22,3,13,28,26,17
520,3,21,34,23,8,15,13,31,7,14,33,10
521,20,10,3,12,6,31,18,9,13,24,35,25
522,35,33,15,17,20,22,7,2,12,19,25,27
523,17,9,19,32,8,1,28,25,11,4,18,21
524,13,23,30,27,31,12,29,26,6,17,28,36
525,8,21,28,17,2,11,13,14,34,4,22,32
526,26,32,7,5,25,22,11,15,19,30,20,33
527,14,36,29,9,25,31,34,26,12,4,6,1
528,14,13,9,18,8,32,2,3,33,36,6,11
529,10,22,7,12,36,25,6,15,20,16,21,29
530,19,10,5,31,34,25,32,28,8,29,6,3
531,33,30,32,17,29,25,12,14,4,10,27,26
532,3,22,8,18,23,28,32,14,36,10,7,33
533,16,20,30,12,4,32,33,29,25,17,36,3
534,15,24,5,33,26,36,14,10,31,21,32,27
535,1,20,9,30,13,31,32,18,36,35,7,6
